,ID,scientific name,date,coordinates
1209,1584376997,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.37,-10.7167"
1210,1584376996,Chelonia mydas,1976-01-01T00:00:00Z,"143.8833,-9.1333"
1211,1584376995,Lepidochelys olivacea,1996-01-01T00:00:00Z,"141.91,-10.59"
1212,1584376994,Chelonia mydas,1979-01-01T00:00:00Z,"143.8833,-9.1333"
1213,1584376993,Eretmochelys imbricata,1996-01-01T00:00:00Z,"141.91,-10.59"
1214,1584376992,Lepidochelys olivacea,1999-01-01T00:00:00Z,"141.9096,-10.6058"
1215,1584376991,Natator depressus,1978-01-01T00:00:00Z,"143.4,-9.8667"
1216,1584376990,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.16,-10.22"
1217,1584376989,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1583,-10.2167"
1218,1584376988,Natator depressus,1999-01-01T00:00:00Z,"142.1767,-10.1534"
1219,1584376987,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.5,-10.6133"
1220,1584376986,Natator depressus,1996-01-01T00:00:00Z,"142.1667,-10.2233"
1221,1584376985,Lepidochelys olivacea,1996-01-01T00:00:00Z,"143.3917,-9.8717"
1222,1584376984,Natator depressus,1996-01-01T00:00:00Z,"142.165,-10.055"
1223,1584376983,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.16,-10.22"
1224,1584376982,Natator depressus,1996-01-01T00:00:00Z,"142.82,-10.1483"
1225,1584376981,Natator depressus,1996-01-01T00:00:00Z,"142.5,-10.6133"
1226,1584376980,Natator depressus,1996-01-01T00:00:00Z,"143.2917,-9.9567"
1227,1584376979,Natator depressus,1996-01-01T00:00:00Z,"142.1633,-10.215"
1228,1584376978,Chelonia mydas,1967-01-01T00:00:00Z,"143.8833,-9.1333"
1229,1584376977,Natator depressus,1999-01-01T00:00:00Z,"141.9096,-10.6058"
1230,1584376976,Chelonia mydas,1996-01-01T00:00:00Z,"143.17,-9.87"
1231,1584376975,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1633,-10.215"
1232,1584376974,Lepidochelys olivacea,1999-01-01T00:00:00Z,"142.1767,-10.1534"
1233,1584376973,Eretmochelys imbricata,1996-01-01T00:00:00Z,"143.2917,-9.9567"
1234,1584376972,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.2133,-10.22"
1235,1584376971,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.055,-10.3533"
1236,1584376970,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.5,-10.6133"
1237,1584376969,Lepidochelys olivacea,1996-01-01T00:00:00Z,"143.2917,-9.9567"
1238,1584376968,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.3483,-10.8467"
1239,1584376967,Natator depressus,1999-01-01T00:00:00Z,"142.1623,-10.1836"
1240,1584376966,Lepidochelys olivacea,1987-01-01T00:00:00Z,"142.6,-10.7167"
1241,1584376965,Eretmochelys imbricata,1978-01-01T00:00:00Z,"143.4,-9.8667"
1242,1584376964,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.21,-9.9567"
